5031922AEROLEP                                     aer.inhal.c/adap.x 250ds00047022NNAustral         00016676420220606002060074620107798160690096025010SNN00
9959118DERMAGLOS F TONICO HID 200 ML               t¢nico x 200 ml         00000000NNAndr¢maco       00012480020220607001100095911807793742005046000110NNS00
9957642DERMAGLOS LINEA SOLAR                       F50 F.DermoTM cr. x 50 g00000000NNAndr¢maco       00018570020220607001100095764207793742004568000110NNS00
9957643DERMAGLOS LINEA SOLAR                       F50 Fac.c/color cr.x 50g00000000NNAndr¢maco       00018570020220607001100095764307793742004520000110NNS00
9959762DERMAGLOS LINEA SOLAR                       F50 Fac.s/color cr.x 50g00000000NNAndr¢maco       00018570020220607001100095976207793742004759000110NNS00
9952843DERMAGLOS LINEA SOLAR                       FPS 30 inv.spray x170ml 00000000NNAndr¢maco       00021270020220607001100095284307793742003592000110NNS00
9949624DERMAGLOS LINEA SOLAR                       FPS 30 invis.sprayx180ml00000000NNAndr¢maco       00019950020220607001100094962407793742003448000110NNS00
9951652DERMAGLOS LINEA SOLAR                       FPS 30 lapiz x 3.4 g    00000000NNAndr¢maco       00008190020220607001100095165207793742002687000110NNS00
9949625DERMAGLOS LINEA SOLAR                       FPS 40 cont.spray x170ml00000000NNAndr¢maco       00021680020220607001100094962507793742003554000110NNS00
9951650DERMAGLOS LINEA SOLAR                       FPS 50 beb‚s cr.x 150 g 00000000NNAndr¢maco       00015860020220607001100095165007793742033759000110NNS00
9955559DERMAGLOS LINEA SOLAR                       FPS 50 beb‚s cr.x 50 g  00000000NNAndr¢maco       00006200020220607001100095555907793742003998000110NNS00
9954414DERMAGLOS LINEA SOLAR                       FPS 50 spray cont.x170ml00000000NNAndr¢maco       00022110020220607001100095441407793742003776000110NNS00
9924249DERMAGLOS LINEA SOLAR                       FPS 65 RA crema x 90g   00000000NNAndr¢maco       00019920020220607001100092424907793742003264000110NNS00
9958836DERMAGLOS LINEA SOLAR                       FPS 65 beb‚s cr.x 120 g 00000000NNAndr¢maco       00014750020220607001100095883607793742004650000110NNS00
9957644DERMAGLOS LINEA SOLAR                       FPS 65 beb‚s cr.x 50 g  00000000NNAndr¢maco       00007190020220607001100095764407793742003660000110NNS00
9949623DERMAGLOS LINEA SOLAR                       FPS 80 cr.x 90 g        00000000NNAndr¢maco       00020980020220607001100094962307793742003707000110NNS00
9957641DERMAGLOS LINEA SOLAR                       FPS15 RA emulsi¢n x250ml00000000NNAndr¢maco       00017090020220607001100095764107793742003486000110NNS00
9936874DERMAGLOS LINEA SOLAR                       FPS20 RA emulsi¢n x250ml00000000NNAndr¢maco       00017110020220607001100093687407793742003493000110NNS00
9939377DERMAGLOS LINEA SOLAR                       FPS30 Barra protec.x 14g00000000NNAndr¢maco       00011770020220607001100093937707793742002670000110NNS00
9936875DERMAGLOS LINEA SOLAR                       FPS30 RA emulsi¢n x250ml00000000NNAndr¢maco       00017550020220607001100093687507793742003509000110NNS00
9955558DERMAGLOS LINEA SOLAR                       FPS30 efecto seco x 180g00000000NNAndr¢maco       00016480020220607001100095555807793742003813000110NNS00
9955560DERMAGLOS LINEA SOLAR                       FPS30 emuls.pomo x 50 ml00000000NNAndr¢maco       00005150020220607001100095556007793742003677000110NNS00
9951651DERMAGLOS LINEA SOLAR                       FPS40 efecto seco x 180g00000000NNAndr¢maco       00017540020220607001100095165107793742003806000110NNS00
9957645DERMAGLOS LINEA SOLAR                       FPS40 emulsi¢n x 120 ml 00000000NNAndr¢maco       00009480020220607001100095764507793742004575000110NNS00
9954417DERMAGLOS LINEA SOLAR                       FPS40 emulsi¢n x 380 ml 00000000NNAndr¢maco       00019450020220607001100095441707793742043512000150NNS00
9936876DERMAGLOS LINEA SOLAR                       FPS40 emulsi¢n x250ml   00000000NNAndr¢maco       00018280020220607001100093687607793742003516000120NNS00
9953796DERMAGLOS LINEA SOLAR                       FPS50 RA emulsi¢n x 50ml00000000NNAndr¢maco       00005150020220607001100095379607793742004513000110NNS00
9948244DERMAGLOS LINEA SOLAR                       FPS50 RA emulsi¢n x250ml00000000NNAndr¢maco       00018940020220607001100094824407793742003431000130NNS00
9955561DERMAGLOS LINEA SOLAR                       FPS50 ni¤o emuls.x180 ml00000000NNAndr¢maco       00017630020220607001100095556107793742003790000110NNS00
9954419DERMAGLOS LINEA SOLAR                       FPS50 ni¤o spray x170 ml00000000NNAndr¢maco       00021930020220607001100095441907793742003738000110NNS00
9954415DERMAGLOS LINEA SOLAR                       Post solar emuls.x 300ml00000000NNAndr¢maco       00017780020220607001100095441507793742003974000110NNS00
9924236DERMAGLOS LINEA SOLAR                       Post solar gel x 150 g  00000000NNAndr¢maco       00013070020220607001100092423607793742003233000110NNS00
9954416DERMAGLOS LINEA SOLAR                       Post solar gel x 300ml  00000000NNAndr¢maco       00019360020220607001100095441607793742003967000110NNS00
9958837DERMAGLOS LINEA SOLAR                       Post solar gel x 50 g   00000000NNAndr¢maco       00005660020220607001100095883707793742004643000110NNS00
9957639DERMAGLOS LINEA SOLAR (PROMOCIONAL)         FPS 50 beb‚s cr.x 180 g 00000000NNAndr¢maco       00015860020220607001100095763907793742003752000110NNS00
9957638DERMAGLOS LINEA SOLAR (PROMOCIONAL)         FPS30 emuls.fr. x 380 ml00000000NNAndr¢maco       00018670020220607001100095763807793742032615000110NNS00
9957640DERMAGLOS LINEA SOLAR (PROMOCIONAL)         FPS50 RA emulsi¢n x380ml00000000NNAndr¢maco       00020150020220607001100095764007793742023439000110NNS00
9958499DERMAGLOS ULTRA F CC CREAM                  tono medio cr.x 50 g    00000000NNAndr¢maco       00029090020220607001100095849907793742007422000110NNS00
9953787DERMAGLOS ULTRA F CONTORNO +30              F30 cr.x 15 g           00000000NNAndr¢maco       00034700020220607001100095378707793742007507000110NNS00
9953788DERMAGLOS ULTRA F CONTORNO +50              F50 cr.x 15 g           00000000NNAndr¢maco       00034700020220607001100095378807793742007521000110NNS00
9953789DERMAGLOS ULTRA F DIA +30                   F30 cr.x 50 g           00000000NNAndr¢maco       00037160020220607001100095378907793742007545000110NNS00
9953790DERMAGLOS ULTRA F DIA +50                   F50 cr.x 50 g           00000000NNAndr¢maco       00037160020220607001100095379007793742007552000110NNS00
9953791DERMAGLOS ULTRA F NOCHE +30                 F30 cr.x 50 g           00000000NNAndr¢maco       00038730020220607001100095379107793742007705000110NNS00
9953792DERMAGLOS ULTRA F NOCHE +50                 F50 cr.x 50 g           00000000NNAndr¢maco       00038730020220607001100095379207793742007699000110NNS00
9909560HIDROSAM                                    gel cr.x 50 g           00000000NNAndr¢maco       00023740020220607001100090956007793742000911000110NNS00
9909561HIDROSAM                                    shamp.gel x 250 ml      00000000NNAndr¢maco       00021650020220607001100090956107793742000904000130NNS00
9959761HIDROSAM SHAMPOO                            env. x 250 ml           00000000NNAndr¢maco       00021650020220607001100095976107793742000997000110NNS00
9958578HIPOGLOS CUIDADO DIARIO                     crema x 30 g            00000000NNAndr¢maco       00008400020220607001100095857807793742002984000110NNS00
9958579HIPOGLOS CUIDADO DIARIO                     crema x 90 g            00000000NNAndr¢maco       00019930020220607001100095857907793742002991000130NNS00
9950963HIPOGLOS CUIDADO DIARIO                     pda.x 30 g              00000000NNAndr¢maco       00008420020220607001100095096307793742002014000110NNS00
9957637HIPOGLOS CUIDADO DIARIO                     pda.x 90 g              00000000NNAndr¢maco       00019980020220607001100095763707793742003011000130NNS00
9950964HIPOGLOS CUIDADO DIARIO (PROMOCIONAL)       pda.x 40 g              00000000NNAndr¢maco       00008420020220607001100095096407793742002021000110NNS00
9936630PRURISEDAN                                  cr.rosa x 30 g          00000000NNAndr¢maco       00006620020220607001100093663007793742005985000110NNN00
9931374PRURISEDAN                                  loc.incoloro x 60 ml    00000000NNAndr¢maco       00008000020220607001100093137407793742005992000110NNN00
0668226DEVISAL CB 50000                            c ps.bl.x 2             00000000NNBaliarda        00013300020220606002000235987007795338999784000210NNN00
0615997DILCORAN                                    160 mg comp.rec.x 30    00000000NNCasasco         00034583720220603002000455986007791909180223003020NNN00
4905902AERIUS                                      5 mg comp.rec.x 10      00018696NNOrganon Arg.    00019552820220601012021722880907793081012217001010SNN00
4905905AERIUS                                      5 mg comp.rec.x 30      00063156NNOrganon Arg.    00048201920220601012021722881007793081012224003030SNN00
5095332ARCOXIA                                     120 mg comp.rec.x 7     00041896NNOrganon Arg.    00021816720220601012021723692107797991146130000710SNN00
5095123ARCOXIA                                     60 mg comp.rec.x 28     00096029NNOrganon Arg.    00044193720220601012021723399307797991146918002810SNN00
5095281ARCOXIA                                     90 mg comp.rec.x 14     00073534NNOrganon Arg.    00036183820220601012021723190607797991146772001410SNN00
5095282ARCOXIA                                     90 mg comp.rec.x 28     00116668NNOrganon Arg.    00054749020220601012021723399407797991146925002830SNN00
1183242CELESTONE                                   liq.x 15 ml             00023758NNOrganon Arg.    00011828120220601002021721122607793081023343000110SNN00
1183662CELESTONE CRONODOSE                         f.a.x 1 x 2 ml          00031042NNOrganon Arg.    00012810720220601012021725727907793081098440000110NNN00
4890641CERAZETTE                                   comp.rec.x 28           00000000ENOrganon Arg.    00025285920220601012021722887907795318001230002810NNN00
3036521CO-RENITEC                                  10/25 mg comp.x 20      00000000NNOrganon Arg.    00011281320220601002061720313507797991144501002010SNN00
3036523CO-RENITEC                                  10/25 mg comp.x 60      00000000NNOrganon Arg.    00031824220220601002061720313607797991144518006030SNN00
3042543CO-RENITEC                                  20/12.5 mg comp.x 60    00000000NNOrganon Arg.    00035078820220601002061720330707797991145560006010SNN00
5047491COZAAREX                                    100 mg comp.x 30        00103029NNOrganon Arg.    00042628020220601012061723130807797991146802003010SNN00
4003672COZAAREX                                    50 mg comp.x 30         00074832NNOrganon Arg.    00032186720220601012061723033807797991146703003010SNN00
5604391COZAAREX D                                  100/12.5 mg comp.x 30   00000000NNOrganon Arg.    00037179320220601012081723970507797991150090003010SNN00
4772172COZAAREX D                                  100/25 mg comp.x 30     00000000NNOrganon Arg.    00046665020220601012081722839707797991065967003010SNN00
4123622COZAAREX D                                  50/12.5 mg comp.x 30    00000000NNOrganon Arg.    00041451320220601012081723128307797991146710003010SNN00
0508652DIPROGENTA                                  cr.x 20 g               00000000NNOrganon Arg.    00016267520220601002021720306807793081045260000110SNN00
2180253DIPROSONE                                   cr.x 15 g               00009964NNOrganon Arg.    00016712720220601002021720307307793081043532000110SNN00
2417112DIPROSONE                                   loc.x 30 ml             00049644NNOrganon Arg.    00022653820220601002021720307507793081043617000110NNN00
3328093ELOCON                                      loc.x 30 ml             00037502NNOrganon Arg.    00031365220220601002021721502807793081044607000110SNN00
3327922ELOCON CREMA                                pomo x 15 g             00027695NNOrganon Arg.    00022522320220601002021721123007793081044546000110SNN00
6043551ELONVA                                      100 mcg jga.prell.x 1   00000000NNOrganon Arg.    01581926720220601012001724906907795318000066000111SNN00
6043681ELONVA                                      150 mcg jga.prell.x 1   00000000NNOrganon Arg.    01581926720220601012001724907007795318000073000111SNN00
5126193EZETROL                                     10 mg comp.x 30         00073925NNOrganon Arg.    00036715920220601012021723585707797991114825003010SNN00
3676903FELBAMYL                                    600 mg comp.x 40        00000000NNOrganon Arg.    00068096220220601A03061723843807793081048339004030SNN00
3677075FELBAMYL                                    600 mg/5 ml susp.x 230ml00000000NNOrganon Arg.    00078782020220601A03061722217807793081048353000110SNN00
6099391IMPLANON NXT                                implante x 1            00000000NNOrganon Arg.    00335765520220601012001724801407795318000097000110NNN00
2663891LERIVON                                     30 mg comp.x 30         00000000NNOrganon Arg.    00018868420220601403021720618907795318001018003010SNN00
2997781LOTRICOMB                                   cr.x 30 g               00000000NNOrganon Arg.    00017473420220601002021720956807793081057805000110SNN00
2817251MARVELON                                    comp.x 21               00000000ENOrganon Arg.    00020224620220601002021720619107795318000295002110NNN00
3929281MERCILON                                    comp.x 21               00000000ENOrganon Arg.    00020224620220601002021721588307795318001049002110NNN00
4302652NASONEX                                     Nas.spray acuoso x140ds.00280330NNOrganon Arg.    00045261520220601012021722859007793081050974014010SNN00
4302653NASONEX MINI                                Nas.spray acuoso x 60ds.00052338NNOrganon Arg.    00027447220220601012021723371207793081050998006010SNN00
3814343NOVASONE                                    cr.x 15 g               00027695NNOrganon Arg.    00023873320220601002021721490507793081066906000110SNN00
5129771NUVARING                                    anillo vaginal sob.x 1  00000000NNOrganon Arg.    00040108420220601012001724566507795318001438000111NNN00
4869451ORGALUTRAN                                  jga.prell.x 1 x 0.5 ml  00000000NNOrganon Arg.    00097979520220601012001722980407795318001261000110SNN00
4386231PROPECIA                                    1 mg comp.rec.x 30      00000000NNOrganon Arg.    00058727920220601012021722121607797991065974003010SNN00
3508012PROSCAR                                     comp.x 30               00116725NNOrganon Arg.    00054127220220601002021721184507797991145652003010SNN00
4977241PUREGON SOLUCION                            300 UI cart.x 0.36 ml   00000000NNOrganon Arg.    00364101420220601012001723267507795318001285000110SNN00
4977311PUREGON SOLUCION                            600 UI cart.x 0.72 ml   00000000NNOrganon Arg.    00728205220220601012001723267607795318001292000110SNN00
3103184QUADRIDERM                                  cr.x 10 g               00000000NNOrganon Arg.    00008184220220601002021723348307793081082173000110SNN00
3103185QUADRIDERM                                  cr.x 20 g               00000000NNOrganon Arg.    00021863720220601002021723348407793081082197000130SNN00
4066041REMERON                                     30 mg comp.x 30         00000000NNOrganon Arg.    00075909020220601413021721866207795318001063003030SNN00
2922931RENITEC                                     10 mg comp.x 30         00037136NNOrganon Arg.    00009211120220601002061720540107797991145706003010SNN00
2922932RENITEC                                     10 mg comp.x 60         00070923NNOrganon Arg.    00019409020220601002061720540207797991145713006030SNN00
2923001RENITEC                                     20 mg comp.x 30         00045655NNOrganon Arg.    00011829920220601002061720540307797991145720003010SNN00
2923002RENITEC                                     20 mg comp.x 60         00090481NNOrganon Arg.    00022962920220601002061720540407797991145737006030SNN00
3061272RENITEC                                     5 mg comp.x 60          00044484NNOrganon Arg.    00009383620220601002061720875607797991145690006010SNN00
4402301SINGULAIR                                   10 mg comp.x 30         00157013NNOrganon Arg.    00043556320220601012021722203707797991065585003010SNN00
4820843SINGULAIR                                   Ni¤os 4 mg comp.mast.x3000144434NNOrganon Arg.    00044642620220601012021722714407797991066285003010SNN00
5224871SINGULAIR                                   Ni¤os 4 mg gran.sob.x 3000144434NNOrganon Arg.    00037853720220601012021723386007797991146895003010SNN00
4402481SINGULAIR                                   Ni¤os 5 mg comp.mast.x3000152346NNOrganon Arg.    00045075720220601012021722156407797991065431003010SNN00
5296953VYTORIN                                     10/10 mg comp.x 30      00000000NNOrganon Arg.    00031929120220601012021723581407797991114788003010SNN00
5297083VYTORIN                                     10/20 mg comp.x 30      00000000NNOrganon Arg.    00031929120220601012021723581507797991114795003030SNN00
5297133VYTORIN                                     10/40 mg comp.x 30      00000000NNOrganon Arg.    00039472720220601012021723581607797991114801003030SNN00
5127686ZETIA                                       10 mg comp.x 28         00173088NNOrganon Arg.    00038952220220601012021723342807793081094749002810SNN00
3179423ZOCOR                                       10 mg comp.x 30         00081181NNOrganon Arg.    00025665520220601002061721039807797991145782003010SNN00
3179503ZOCOR                                       20 mg comp.x 30         00105162NNOrganon Arg.    00029963420220601002061721818207797991144433003010SNN00
3179684ZOCOR                                       40 mg comp.x 30         00130710NNOrganon Arg.    00035843720220601002061722253107797991146529003010SNN00
4582091ACIDO FOLICO RICHMOND                       1 mg comp.x 60          00050465NNRichmond        00010879320220607002001945267207795348002795006010NNN00
4582251ACIDO FOLICO RICHMOND                       5 mg comp.x 60          00066120NNRichmond        00019977520220607002001945267307795348002818006010NNN00
6272001BEMUX                                       100 mg f.a.liof.x 1     00000000NNRichmond        01507022620220607003001945039907795348002191000110NNN00
6271971BEMUX                                       25 mg f.a.liof.x 1      00000000NNRichmond        00472250220220607003001945039807795348002184000110NNN00
5150008CAPECIT                                     500 mg comp.x 120       00000000NNRichmond        00792973720220607003001944168407795348251056012010NNN00
4063491CIGANCLOR                                   500 mg f.a.x 1          00000000NNRichmond        00038474320220607003001942131407795348002382000110NNN00
9923086DOXETAL                                     20 mg f.a.x 1+disolv.x 100000000NNRichmond        00192660520220607002001942308607795348002962000111NNN00
9953068DOXETAL                                     20 mg/1 ml iny.f.a.x 1  00000000NNRichmond        00192660520220607002001945306807795348002924000111NNN00
4543641DOXETAL                                     80 mg f.a.x 1+disolv.x 100000000NNRichmond        00770508620220607002001942308707795348002955000111NNN00
9952320DOXETAL                                     80 mg/4 ml f.a.x 1      00000000NNRichmond        00770508620220607002001945232007795348002931000111NNN00
4019193DRIFEN                                      150 mg f.a.x 25 ml      00000000NNRichmond        00719472620220607003001942096107795348002580000111NNN00
4019191DRIFEN                                      30 mg f.a.x 5 ml        00000000NNRichmond        00143303920220607003001941865807795348001583000111NNN00
9955140EGIDON                                      3.5 mg f.a.liof.x1      00000000NNRichmond        02460151920220607003001945514007795348421091000110NNN00
3955681ESPASEVIT                                   8 mg a.x 1 x 4 ml       00000000NNRichmond        00028349620220607002001941633007795348001118000110NNN00
9955065ESPASEVIT                                   8 mg a.x 25 x 4 ml      00000000NNRichmond        00708746020220607002001945506507795348000890002590NNN00
5067183FOLAPORT                                    250/0.5 mg comp.x 60    00000000NNRichmond        00020509520220607002001945040607795348002221006010SNN00
6036682FONTRAX                                     100 mg comp.rec.x 30    00000000NNRichmond        03429091120220607003001944751707795348000159003010NNN00
6036422FONTRAX                                     50 mg comp.rec.x 60     00000000NNRichmond        03429091120220607003001944751607795348000142006010NNN00
5327131GEZT                                        1 g f.a.x 1             00000000NNRichmond        00381270620220607003001943638607795348250370000110NNN00
4544891GEZT                                        200 mg f.a.x 1          00000000NNRichmond        00079318920220607003001943638507795348250387000110NNN00
3365201HEPARINA SODICA RICHMOND                    5000 UI f.a.x 100 x 5 ml00000000NNRichmond        01329183420220607002001941077207795348050123010090NNN00
0665955INIBCO                                      200 mg comp.x 30        00000000NNRichmond        01364178820220607002001945926107795348424412003010NNN00
0665942INIBCO                                      400 mg comp.x 30        00000000NNRichmond        02753160820220607002001945926207795348424429003010NNN00
5602396LAZINEVIR                                   comp.rec.x 60           00000000NNRichmond        00342087320220607002001943996607795348250943006010NNN00
5920263LEUZAN                                      comp.rec.x 30           00000000NNRichmond        00244883620220607003001944497207795348251223003010NNN00
6546971LIMUSTAC 15 MG                              comp.rec.x 20           00000000NNRichmond        02020106520220607003001945594007795348421718002010NNN00
6546972LIMUSTAC 15 MG                              comp.rec.x 60           00000000NNRichmond        05989263020220607003001945594107795348421732006030NNN00
6547001LIMUSTAC 20 MG                              comp.rec.x 20           00000000NNRichmond        02020106520220607003001945594207795348421725002010NNN00
6547002LIMUSTAC 20 MG                              comp.rec.x 60           00000000NNRichmond        05989263020220607003001945594307795348421749006030NNN00
6105001MIVUTEN                                     comp.rec.x 30           00000000NNRichmond        00401701720220607003001944722607795348000326003010NNN00
6213715MONOFER                                     100 mg/ml f.a.x 1 x 10ml00000000NNRichmond        00430974820220607012001944959707795348001521000130NNN00
6213716MONOFER                                     100 mg/ml f.a.x 1 x 5 ml00000000NNRichmond        00215486920220607012001945258007795348001514000110NNN00
6113682OMACOR                                      caps.blandas x 28       00000000NNRichmond        00049673620220602012021944807717798047984119002810SNN00
4354211OMILIPIS                                    150 mg iny.liof.f.a.x 1 00000000NNRichmond        00145000220220607003001942196807795348002771000110NNN00
4354391OMILIPIS                                    450 mg iny.liof.f.a.x 1 00000000NNRichmond        00408661420220607003001942196907795348002788000110NNN00
4661112PIPETECAN                                   100 mg iny.f.a.x 5 ml   00000000NNRichmond        00430458020220607003001942683307795348003082000110NNN00
6521971PREVID                                      200/25 mg comp.rec.x 30 00000000NNRichmond        00430603620220607003001945584407795348421602003010NNN00
6372551PROBIRASE                                   comp.rec.x 28           00000000NNRichmond        03988796820220607003001945194307795348002979002810NNN00
4856246PROTEASE                                    200 mg comp.x 60        00000000NNRichmond        00143034320220607002001942837507795348003419006010NNN00
9954299REGIOCAINA JALEA                            pomo x 25 ml caja x 20  00000000NNRichmond        00074925620220607002001945429907795348000968002090NNN00
5989002REMIFLO                                     5 mg iny.liof.f.a.x 5   00000000NNRichmond        00068109320220607604001944587307795348000081000590NNN00
0640413REXINTH                                     250 mg comp.rec.x 120   00000000NNRichmond        04393888720220607003001945329107795348003013012010NNN00
4019691ROXORIN                                     10 mg liof.f.a.x 1      00000000NNRichmond        00018654320220607003001941617507795348001217000110NNN00
4019774ROXORIN                                     50 mg liof.f.a.x 1      00000000NNRichmond        00080256120220607003001941617607795348002900000110NNN00
6054841SELMIVIR                                    comp.rec.x 30           00000000NNRichmond        00327754620220607002001944654907795348000258003010NNN00
4342673TAMBUX                                      150 mg caps.x 30        00000000NNRichmond        00088037020220607003001944657607795348415632003010SNN00
4164211TEICOX                                      400 mg liof.f.a.x 1+solv00351657ANRichmond        00062446020220607003001942683207795348003068000160NNN00
6064421TIZOXIM                                     50 mg f.a.liof.x 10     02158680SNRichmond        00507538220220607003001944817107795348000371001090NNN00
